year,mes,periodo,median,mean,max,variance,sd,sex,area_m2_ha,fruits_comp,fruits_comp_p
2007,Nov,p2,4,3.504087193,6,3.602488743,1.898022324,female,0.454829177,90.20637898,0.90206379
2007,Dic,p1,5,5.309597523,10,6.282733688,2.506538188,female,0.416015793,NA,NA
2007,Dic,p2,NA,NA,10,6.282733688,2.506538188,female,0.489118686,NA,NA
2008,Ene,p1,3,3.658536585,9,12.2304878,3.497211433,female,NA,99.01960785,0.990196079
2008,Ene,p2,4,3.74137931,9,12.2304878,3.497211433,female,0.701898535,84.25771557,0.842577156
2008,Feb,p1,3,3.580487805,10,7.530180691,2.74411747,female,0.613766888,87.01044545,0.870104455
2008,Feb,p2,6,5.18466899,10,7.530180691,2.74411747,female,0.937982769,97.62528735,0.976252874
2008,Mar,p1,4,3.765853659,7,4.971936311,2.229783916,female,0.983970663,98.7012987,0.987012987
2008,Mar,p2,3,3.2,7,4.971936311,2.229783916,female,1.017351796,92.06174779,0.920617478
2008,Abr,p1,NA,NA,NA,NA,NA,female,0.767313525,100,1
2008,Abr,p2,3,2.676731794,NA,NA,NA,female,0.678660164,88.54528825,0.885452883
2008,May,p1,0,0.590517241,6,1.913849082,1.383419344,female,0.60562388,66.66666667,0.666666667
2008,May,p2,1,1.015151515,6,1.913849082,1.383419344,female,0.213765224,85.38171827,0.853817183
2008,Jun,p1,1,0.8,2,0.314814815,0.561083608,female,0.202134985,74.08346373,0.740834637
